Tarih,ONS,Gram,Ceyrek,Cumhuriyet
2026-02-21,5204.7001953125,7330.639685191821,11759.567828328545,48382.22192226601
2026-02-22,5204.7001953125,7330.639685191821,11759.567828328545,48382.22192226601
2026-02-23,5204.7001953125,7330.639685191821,11759.567828328545,48382.22192226601
2026-02-24,5155.7998046875,7268.13026009562,11659.292292236723,47969.65971663108
2026-02-25,5206.39990234375,7340.834072381947,11775.921324446039,48449.50487772085
2026-02-26,5176.5,7300.373951117506,11711.016546584333,48182.46807737554
2026-02-27,5230.5,7391.731225290804,11857.568840570664,48785.4260869193
2026-02-28,5230.5,7391.731225290804,11857.568840570664,48785.4260869193
2026-03-01,5230.5,7391.731225290804,11857.568840570664,48785.4260869193
2026-03-02,5294.39990234375,7480.878615359403,12000.57611213904,49373.79886137206
2026-03-03,5107.39990234375,7219.343079906452,11581.0295240166,47647.66432738258
2026-03-04,5120.2001953125,7234.638150536642,11605.565366485862,47748.61179354184
2026-03-05,5065.2998046875,7155.730438291565,11478.984244759386,47227.82089272433
2026-03-06,5146.10009765625,7285.36311681986,11686.93666656519,48083.39657101107
2026-03-07,5146.10009765625,7285.36311681986,11686.93666656519,48083.39657101107
2026-03-08,5146.10009765625,7285.36311681986,11686.93666656519,48083.39657101107
2026-03-09,5091.5,7216.199513656938,11575.98671982467,47626.91679013579
2026-03-10,5229.7001953125,7411.517573582433,11889.309440955154,48916.01598564406
2026-03-11,5167.39990234375,7324.654882153075,11749.967206787223,48342.722222210294
2026-03-12,5115.7998046875,7253.157577131004,11635.273613314319,47870.84000906462
2026-03-13,5052.5,7177.543488976419,11513.976013566338,47371.78702724437
2026-03-14,5052.5,7177.543488976419,11513.976013566338,47371.78702724437
2026-03-15,5052.5,7177.543488976419,11513.976013566338,47371.78702724437
2026-03-16,4994.0,7092.122390028124,11376.946334003447,46808.007774185615
2026-03-17,5001.0,7104.077528613319,11396.124368817198,46886.91168884791
2026-03-18,4889.89990234375,6951.271835789735,11150.9985699127,45878.39411621225
